ICD-9 Code,is_ICD-9,ICD-10 Chapter
F0390,FALSE,F03
290,TRUE,F03
D649,FALSE,D64
I10,FALSE,I10
S22,FALSE,S22
M810,FALSE,M81
C399,FALSE,C39
G30,FALSE,G30
G20,FALSE,G20
W19,FALSE,W19
L40,FALSE,L40
I130,FALSE,I13
R418,FALSE,R41
I509,FALSE,I50
N39,FALSE,N39
R413,FALSE,R41
C3490,FALSE,C34
I48,FALSE,I48
M43,FALSE,M43
S72,FALSE,S72
F01,FALSE,F01
C67,FALSE,C67
M1990,FALSE,M19
M46,FALSE,M46
N183,FALSE,N18
I69,FALSE,I69
R270,FALSE,R27
R4189,FALSE,R41
G301,FALSE,G30
M06,FALSE,M06
R26,FALSE,R26
S73,FALSE,S73
I4891,FALSE,I48
S42291D,FALSE,S42
G3183,FALSE,G31
I63,FALSE,I63
F03,FALSE,F03
F0391,FALSE,F03
I21,FALSE,I21
N189,FALSE,N18
G3184,FALSE,G31
K859,FALSE,K85
M62,FALSE,M62
I330,FALSE,I33
C719,FALSE,C71
I25810,FALSE,I25
R41,FALSE,R41
I499,FALSE,I49
I639,FALSE,I63
G8911,FALSE,G89
G35,FALSE,G35
F02,FALSE,F02
G309,FALSE,G30
M818,FALSE,M81
S42301,FALSE,S42
None,FALSE,Non
M79,FALSE,M79
G93,FALSE,G93
I46,FALSE,I46
C189,FALSE,C18
S220,FALSE,S22
R29818,FALSE,R29
M47816,FALSE,M47
434.91,TRUE,I63
M25361,FALSE,M25
S42,FALSE,S42
414,TRUE,I25
E11,FALSE,E11
W19XXXD,FALSE,W19
S82,FALSE,S82
Z86,FALSE,Z86
S06,FALSE,S06
S3250,FALSE,S32
S32,FALSE,S32
F039,FALSE,F03
J44,FALSE,J44
C8218,FALSE,C82
438.22,TRUE,I69
I50,FALSE,I50
M19,FALSE,M19
M480,FALSE,M48
G300,FALSE,G30
S4221,FALSE,S42
M13,FALSE,M13
I2510,FALSE,I25
I679,FALSE,I67
M419,FALSE,M41
R41841,FALSE,R41
S0990XD,FALSE,S09
M160,FALSE,M16
M4802,FALSE,M48
M4326,FALSE,M43
S129,FALSE,S12
G81,FALSE,G81
R54,FALSE,R54
C541,FALSE,C54
M05,FALSE,M05
K5791,FALSE,K57
G9341,FALSE,G93
M726,FALSE,M72
G60,FALSE,G60
M461,FALSE,M46
H814,FALSE,H81
R260,FALSE,R26
Z96,FALSE,Z96
M48,FALSE,M48
N401,FALSE,N40
M47896,FALSE,M47
M75121,FALSE,M75
E43,FALSE,E43
G45,FALSE,G45
M5000,FALSE,M50
M19049,FALSE,M19
F0150,FALSE,F01
C250,FALSE,C25
F015,FALSE,F01
M12532,FALSE,M12
I26,FALSE,I26
S32000,FALSE,S32
F0280,FALSE,F02
E119,FALSE,E11
I619,FALSE,I61
R261,FALSE,R26
I63511,FALSE,I63
S12,FALSE,S12
G31,FALSE,G31
M5030,FALSE,M50
I255,FALSE,I25
I25,FALSE,I25
S69,FALSE,S69
Z950,FALSE,Z95
Z853,FALSE,Z85
S065,FALSE,S06
J189,FALSE,J18
M4806,FALSE,M48
I6930,FALSE,I69
I214,FALSE,I21
S3251,FALSE,S32
M353,FALSE,M35
S42301D,FALSE,S42
I350,FALSE,I35
M5135,FALSE,M51
M1612,FALSE,M16
S335XXA,FALSE,S33
Z47,FALSE,Z47
B0223,FALSE,B02
C50912,FALSE,C50
J9600,FALSE,J96
F0281,FALSE,F02
G56,FALSE,G56
M6282,FALSE,M62
C61,FALSE,C61
K40,FALSE,K40
H409,FALSE,H40
M259,FALSE,M25
M80829S,FALSE,M80
G9009,FALSE,G90
S52,FALSE,S52
M179,FALSE,M17
K219,FALSE,K21
R296,FALSE,R29
I609,FALSE,I60
S32511D,FALSE,S32
J96,FALSE,J96
F05,FALSE,F05
J441,FALSE,J44
311,TRUE,F32
M80,FALSE,M80
I67,FALSE,I67
A41,FALSE,A41
N18,FALSE,N18
H40,FALSE,H40
354.3,TRUE,G56
M150,FALSE,M15
M00862,FALSE,M00
H54,FALSE,H54
F0151,FALSE,F01
J449,FALSE,J44
Z8673,FALSE,Z86
S86,FALSE,S86
S423,FALSE,S42
E039,FALSE,E03
S52121D,FALSE,S52
I5022,FALSE,I50
G250,FALSE,G25
M47,FALSE,M47
M84459,FALSE,M84
M5136,FALSE,M51
I71,FALSE,I71
C50,FALSE,C50
I739,FALSE,I73
J811,FALSE,J81
M1380,FALSE,M13
M1467,FALSE,M14
G629,FALSE,G62
M17,FALSE,M17
I951,FALSE,I95
G14,FALSE,G14
I429,FALSE,I42
G12,FALSE,G12
C49,FALSE,C49
I5020,FALSE,I50
S321,FALSE,S32
M41,FALSE,M41
E25,FALSE,E25
R627,FALSE,R62
H3530,FALSE,H35
M8435,FALSE,M84
I638,FALSE,I63
R03,FALSE,R03
F19,FALSE,F19
N202,FALSE,N20
M5116,FALSE,M51
G919,FALSE,G91
Z91,FALSE,Z91
Z87,FALSE,Z87
C069,FALSE,C06
M1711,FALSE,M17
C801,FALSE,C80
C029,FALSE,C02
S332,FALSE,S33
I480,FALSE,I48
715.9,TRUE,M19
S89,FALSE,S89
447.6,TRUE,I77
M84454A,FALSE,M84
C259,FALSE,C25
R2681,FALSE,R26
G578,FALSE,G57
G3109,FALSE,G31
S3282,FALSE,S32
M21,FALSE,M21
I89,FALSE,I89
M25562,FALSE,M25
818.1,TRUE,S32
G8191,FALSE,G81
M159,FALSE,M15
S3282XS,FALSE,S32
C450,FALSE,C45
I44,FALSE,I44
R55,FALSE,R55
I690,FALSE,I69
R16,FALSE,R16
D469,FALSE,D46
C16,FALSE,C16
386.11,TRUE,H81
756.83,TRUE,Q76
R410,FALSE,R41
332,TRUE,G20
I61,FALSE,I61
R6521,FALSE,R65
R4181,FALSE,R41
K57,FALSE,K57
E03,FALSE,E03
I5021,FALSE,I50
G310,FALSE,G31
I63512,FALSE,I63
S2242XD,FALSE,S22
724,TRUE,M54
R4184,FALSE,R41
Z9181,FALSE,Z91
G894,FALSE,G89
C09,FALSE,C09
J910,FALSE,J91
G91,FALSE,G91
I52,FALSE,I52
S32009A,FALSE,S32
J440,FALSE,J44
M54,FALSE,M54
G7241,FALSE,G72
M170,FALSE,M17
I5023,FALSE,I50
L97,FALSE,L97
G459,FALSE,G45
M069,FALSE,M06
C349,FALSE,C34
I5030,FALSE,I50
J9601,FALSE,J96
M87051,FALSE,M87
L0390,FALSE,L03
K56,FALSE,K56
R27,FALSE,R27
959.7,TRUE,S00
N12,FALSE,N12
M6281,FALSE,M62
250,TRUE,E11
721.8,TRUE,M48
G912,FALSE,G91
436,TRUE,I63
C20,FALSE,C20
S32020,FALSE,S32
C91,FALSE,C91
M2445,FALSE,M24
G903,FALSE,G90
C92,FALSE,C92
M84,FALSE,M84
S065X0A,FALSE,S06
R60,FALSE,R60
C7951,FALSE,C79
I890,FALSE,I89
I119,FALSE,I11
E08,FALSE,E08
T84020D,FALSE,T84
K632,FALSE,K63
S27,FALSE,S27
M5430,FALSE,M54
S92,FALSE,S92
I502,FALSE,I50
M545,FALSE,M54
M25,FALSE,M25
N179,FALSE,N17
S32120A,FALSE,S32
S224,FALSE,S22
E871,FALSE,E87
I6340,FALSE,I63
I11,FALSE,I11
M199,FALSE,M19
R62,FALSE,R62
L03,FALSE,L03
G61,FALSE,G61
N186,FALSE,N18
I714,FALSE,I71
Z96649,FALSE,Z96
G9340,FALSE,G93
K5660,FALSE,K56
J84,FALSE,J84
F32,FALSE,F32
C55,FALSE,C55
